
Predictions were generated on 27-Aug-2019 at 16:09:52 using AA 
 AeroAcoustics
Number of observers      :    1
     Time           	Obs1                
      (s)           	OASPL               
         0.1250	  6.255397E+001
         0.2500	  6.115200E+001
         0.3750	  6.129700E+001
         0.5000	  6.239580E+001
         0.6250	  6.437744E+001
         0.7500	  6.497499E+001
         0.8750	  6.328053E+001
         1.0000	  6.229112E+001
         1.1250	  6.299057E+001
         1.2500	  6.331415E+001
         1.3750	  6.273177E+001
         1.5000	  6.159249E+001
         1.6250	  6.433189E+001
         1.7500	  6.468514E+001
         1.8750	  6.381856E+001
         2.0000	  6.317305E+001
         2.1250	  6.344201E+001
         2.2500	  6.406292E+001
         2.3750	  6.432085E+001
         2.5000	  6.342766E+001
         2.6250	  6.229291E+001
         2.7500	  6.136202E+001
         2.8750	  6.158535E+001
         3.0000	  6.160307E+001
         3.1250	  6.178183E+001
         3.2500	  6.386940E+001
         3.3750	  6.485615E+001
         3.5000	  6.471914E+001
         3.6250	  6.452043E+001
         3.7500	  6.466494E+001
         3.8750	  6.494742E+001
         4.0000	  6.497545E+001
         4.1250	  6.440401E+001
         4.2500	  6.292675E+001
         4.3750	  6.182112E+001
         4.5000	  6.174822E+001
         4.6250	  6.154060E+001
         4.7500	  6.177825E+001
         4.8750	  6.322709E+001
         5.0000	  6.423887E+001
         5.1250	  6.415216E+001
         5.2500	  6.394293E+001
         5.3750	  6.415880E+001
         5.5000	  6.450790E+001
         5.6250	  6.463957E+001
         5.7500	  6.438586E+001
         5.8750	  6.375541E+001
         6.0000	  6.277558E+001
         6.1250	  6.209609E+001
         6.2500	  6.207461E+001
         6.3750	  6.254899E+001
         6.5000	  6.371138E+001
         6.6250	  6.470475E+001
         6.7500	  6.479503E+001
         6.8750	  6.447228E+001
         7.0000	  6.442659E+001
         7.1250	  6.455529E+001
         7.2500	  6.449760E+001
         7.3750	  6.414942E+001
         7.5000	  6.337943E+001
         7.6250	  6.238819E+001
         7.7500	  6.172289E+001
         7.8750	  6.162785E+001
         8.0000	  6.239013E+001
         8.1250	  6.352122E+001
         8.2500	  6.437559E+001
         8.3750	  6.482081E+001
         8.5000	  6.499593E+001
         8.6250	  6.494757E+001
         8.7500	  6.491547E+001
         8.8750	  6.503649E+001
         9.0000	  6.488696E+001
         9.1250	  6.408161E+001
         9.2500	  6.301371E+001
         9.3750	  6.231175E+001
         9.5000	  6.217061E+001
         9.6250	  6.252519E+001
         9.7500	  6.343293E+001
         9.8750	  6.405004E+001
        10.0000	  6.431900E+001
        10.1250	  6.435241E+001
        10.2500	  6.433141E+001
        10.3750	  6.429812E+001
        10.5000	  6.437118E+001
        10.6250	  6.435444E+001
        10.7500	  6.406654E+001
        10.8750	  6.358688E+001
        11.0000	  6.315689E+001
        11.1250	  6.291425E+001
        11.2500	  6.312797E+001
        11.3750	  6.380421E+001
        11.5000	  6.451768E+001
        11.6250	  6.493805E+001
        11.7500	  6.497601E+001
        11.8750	  6.479196E+001
        12.0000	  6.468793E+001
        12.1250	  6.469087E+001
        12.2500	  6.449056E+001
        12.3750	  6.401676E+001
        12.5000	  6.336765E+001
        12.6250	  6.283408E+001
        12.7500	  6.256810E+001
        12.8750	  6.264988E+001
        13.0000	  6.307926E+001
        13.1250	  6.372939E+001
        13.2500	  6.434548E+001
        13.3750	  6.469917E+001
        13.5000	  6.476460E+001
        13.6250	  6.484205E+001
        13.7500	  6.503435E+001
        13.8750	  6.511105E+001
        14.0000	  6.486712E+001
        14.1250	  6.434211E+001
        14.2500	  6.368990E+001
        14.3750	  6.316353E+001
        14.5000	  6.296681E+001
        14.6250	  6.326826E+001
        14.7500	  6.377636E+001
        14.8750	  6.416545E+001
        15.0000	  6.433624E+001
        15.1250	  6.435619E+001
        15.2500	  6.434366E+001
        15.3750	  6.435228E+001
        15.5000	  6.429252E+001
        15.6250	  6.411358E+001
        15.7500	  6.384563E+001
        15.8750	  6.348945E+001
        16.0000	  6.324348E+001
        16.1250	  6.329693E+001
        16.2500	  6.372923E+001
        16.3750	  6.435531E+001
        16.5000	  6.484591E+001
        16.6250	  6.505547E+001
        16.7500	  6.508637E+001
        16.8750	  6.504632E+001
        17.0000	  6.490075E+001
        17.1250	  6.460386E+001
        17.2500	  6.431950E+001
        17.3750	  6.387024E+001
        17.5000	  6.334975E+001
        17.6250	  6.292578E+001
        17.7500	  6.281593E+001
        17.8750	  6.309749E+001
